date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
31/10/2020,utla,E08000003,Manchester,24145,271
31/10/2020,utla,E09000020,Kensington and Chelsea,1809,18
31/10/2020,utla,E09000030,Tower Hamlets,3752,81
31/10/2020,utla,W06000021,Monmouthshire,891,14
31/10/2020,utla,E06000051,Shropshire,3424,68
31/10/2020,utla,N09000009,Mid Ulster,3487,78
31/10/2020,utla,E08000018,Rotherham,7655,136
31/10/2020,utla,S12000040,West Lothian,2259,32
31/10/2020,utla,W06000008,Ceredigion,250,5
31/10/2020,utla,S12000038,Renfrewshire,2842,35
31/10/2020,utla,W06000016,Rhondda Cynon Taf,7131,147
31/10/2020,utla,E10000003,Cambridgeshire,4622,59
31/10/2020,utla,E06000049,Cheshire East,6135,102
31/10/2020,utla,E09000031,Waltham Forest,3091,51
31/10/2020,utla,E09000025,Newham,4213,51
31/10/2020,utla,W06000022,Newport,2087,43
31/10/2020,utla,S12000008,East Ayrshire,1697,18
31/10/2020,utla,S12000020,Moray,201,0
31/10/2020,utla,E10000030,Surrey,11193,154
31/10/2020,utla,W06000006,Wrexham,2981,28
31/10/2020,utla,E09000021,Kingston upon Thames,2074,30
31/10/2020,utla,S12000010,East Lothian,781,7
31/10/2020,utla,N09000010,"Newry, Mourne and Down",3330,29
31/10/2020,utla,E06000031,Peterborough,2820,32
31/10/2020,utla,E09000015,Harrow,3190,44
31/10/2020,utla,E06000011,East Riding of Yorkshire,5105,135
31/10/2020,utla,E08000006,Salford,9689,164
31/10/2020,utla,S12000035,Argyll and Bute,469,7
31/10/2020,utla,E08000012,Liverpool,20013,140
31/10/2020,utla,E10000015,Hertfordshire,10954,183
31/10/2020,utla,S12000014,Falkirk,1573,13
31/10/2020,utla,S12000021,North Ayrshire,1563,13
31/10/2020,utla,E10000020,Norfolk,6350,75
31/10/2020,utla,S12000041,Angus,808,7
31/10/2020,utla,E10000008,Devon,4896,89
31/10/2020,utla,S12000034,Aberdeenshire,960,1
31/10/2020,utla,W06000001,Isle of Anglesey,798,2
31/10/2020,utla,E08000035,Leeds,25153,367
31/10/2020,utla,E06000019,"Herefordshire, County of",1524,18
31/10/2020,utla,S12000011,East Renfrewshire,1424,21
31/10/2020,utla,S12000033,Aberdeen City,2082,6
31/10/2020,utla,S12000048,Perth and Kinross,931,9
31/10/2020,utla,E08000013,St. Helens,5923,70
31/10/2020,utla,E06000017,Rutland,300,4
31/10/2020,utla,S12000005,Clackmannanshire,492,5
31/10/2020,utla,S12000042,Dundee City,2425,15
31/10/2020,utla,W06000014,Vale of Glamorgan,1495,33
31/10/2020,utla,E06000010,"Kingston upon Hull, City of",4509,178
31/10/2020,utla,S12000030,Stirling,740,7
31/10/2020,utla,E08000029,Solihull,3720,71
31/10/2020,utla,S12000006,Dumfries and Galloway,895,9
31/10/2020,utla,E10000023,North Yorkshire,7853,157
31/10/2020,utla,S12000036,City of Edinburgh,5767,47
31/10/2020,utla,S12000027,Shetland Islands,68,0
31/10/2020,utla,E06000043,Brighton and Hove,2757,38
31/10/2020,utla,S12000013,Na h-Eileanan Siar,69,0
31/10/2020,utla,E08000010,Wigan,11488,226
